wrapperType	kind	artistId	collectionId	trackId	artistName	collectionName	trackName	collectionCensoredName	trackCensoredName	artistViewUrl	collectionViewUrl	trackViewUrl	previewUrl	artworkUrl30	artworkUrl60	artworkUrl100	collectionPrice	trackPrice	releaseDate	collectionExplicitness	trackExplicitness	discCount	discNumber	trackCount	trackNumber	trackTimeMillis	country	currency	primaryGenreName	isStreamable	contentAdvisoryRating	collectionArtistName
track	song	515935989	1555175756	1555175757	Pussy Riot & HOFMANNITA	Sexist - Single	Sexist	Sexist - Single	Sexist	https://music.apple.com/us/artist/pussy-riot/515935989?uo=4	https://music.apple.com/us/album/sexist/1555175756?i=1555175757&uo=4	https://music.apple.com/us/album/sexist/1555175756?i=1555175757&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/c2/db/05/c2db055a-5c28-baea-253e-60c8872bbb6f/mzaf_4656582744830421884.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/6e/8f/de/6e8fde02-e507-84f3-7cfa-dabb42be91dc/195999702971.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/6e/8f/de/6e8fde02-e507-84f3-7cfa-dabb42be91dc/195999702971.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/6e/8f/de/6e8fde02-e507-84f3-7cfa-dabb42be91dc/195999702971.jpg/100x100bb.jpg	0.99	0.99	2021-03-04T12:00:00Z	notExplicit	notExplicit	1	1	1	1	153272	USA	USD	Electronic	True		
track	song	1212756868	1648164182	1648164194	Пошлая Молли & HOFMANNITA	#HABIBATI - Single	#HABIBATI	#HABIBATI - Single	#HABIBATI	https://music.apple.com/us/artist/%D0%BF%D0%BE%D1%88%D0%BB%D0%B0%D1%8F-%D0%BC%D0%BE%D0%BB%D0%BB%D0%B8/1212756868?uo=4	https://music.apple.com/us/album/habibati/1648164182?i=1648164194&uo=4	https://music.apple.com/us/album/habibati/1648164182?i=1648164194&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/e2/27/ee/e227ee6c-d950-d724-7cf0-fdf5c4ec4e33/mzaf_1465469237345817903.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/a4/72/0a/a4720ab3-0994-7f5b-e728-8b0d0dc8a57f/cover.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/a4/72/0a/a4720ab3-0994-7f5b-e728-8b0d0dc8a57f/cover.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/a4/72/0a/a4720ab3-0994-7f5b-e728-8b0d0dc8a57f/cover.jpg/100x100bb.jpg	1.29	1.29	2022-10-07T12:00:00Z	explicit	explicit	1	1	1	1	153006	USA	USD	Pop	True	Explicit	
track	song	1453853357	1553325223	1553325237	MUKKA & HOFMANNITA	Пижама с динозаврами	Худи	Пижама с динозаврами	Худи	https://music.apple.com/us/artist/mukka/1453853357?uo=4	https://music.apple.com/us/album/%D1%85%D1%83%D0%B4%D0%B8/1553325223?i=1553325237&uo=4	https://music.apple.com/us/album/%D1%85%D1%83%D0%B4%D0%B8/1553325223?i=1553325237&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/91/0f/c3/910fc375-0697-4060-9fa2-1452bb16f2e9/mzaf_82562655700344749.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/32/15/26/3215263e-9c28-e98a-2533-147dc3dd5212/cover.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/32/15/26/3215263e-9c28-e98a-2533-147dc3dd5212/cover.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/32/15/26/3215263e-9c28-e98a-2533-147dc3dd5212/cover.jpg/100x100bb.jpg	12.99	1.29	2021-02-25T12:00:00Z	explicit	explicit	1	1	14	3	215143	USA	USD	Rock	True	Explicit	MUKKA
track	song	1476459230	1479668461	1479668469	HOFMANNITA	Zombie La Le - Single	Zombie La Le	Zombie La Le - Single	Zombie La Le	https://music.apple.com/us/artist/hofmannita/1476459230?uo=4	https://music.apple.com/us/album/zombie-la-le/1479668461?i=1479668469&uo=4	https://music.apple.com/us/album/zombie-la-le/1479668461?i=1479668469&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/97/3a/ec/973aec6c-27c3-e665-62d5-288d34b1cfb9/mzaf_4855833594198993130.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/41/88/19/41881984-f891-8bde-a9b0-948f6f3bc228/cover.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/41/88/19/41881984-f891-8bde-a9b0-948f6f3bc228/cover.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/41/88/19/41881984-f891-8bde-a9b0-948f6f3bc228/cover.jpg/100x100bb.jpg	1.29	1.29	2019-09-23T12:00:00Z	explicit	explicit	1	1	1	1	155030	USA	USD	Hip-Hop/Rap	True	Explicit	
track	song	1476459230	1728594750	1728595029	HOFMANNITA & ТРАВМА	Клуб на краю кладбища	Zombieland, Ч. 1	Клуб на краю кладбища	Zombieland, Ч. 1	https://music.apple.com/us/artist/hofmannita/1476459230?uo=4	https://music.apple.com/us/album/zombieland-%D1%87-1/1728594750?i=1728595029&uo=4	https://music.apple.com/us/album/zombieland-%D1%87-1/1728594750?i=1728595029&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/8a/a1/b8/8aa1b807-badd-af07-4906-a37b8178d086/mzaf_2630102601799272213.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/ba/37/ca/ba37caf4-9842-ab33-8468-c85284c17b0c/cover.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/ba/37/ca/ba37caf4-9842-ab33-8468-c85284c17b0c/cover.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/ba/37/ca/ba37caf4-9842-ab33-8468-c85284c17b0c/cover.jpg/100x100bb.jpg	8.99	1.29	2019-08-14T12:00:00Z	explicit	explicit	1	1	7	2	159086	USA	USD	Hip-Hop/Rap	True	Explicit	HOFMANNITA
track	song	1476459230	1476459454	1476459459	HOFMANNITA & ТРАВМА	Zombieland - Single	Zombieland	Zombieland - Single	Zombieland	https://music.apple.com/us/artist/hofmannita/1476459230?uo=4	https://music.apple.com/us/album/zombieland/1476459454?i=1476459459&uo=4	https://music.apple.com/us/album/zombieland/1476459454?i=1476459459&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/fb/31/ce/fb31ce18-f5f9-d376-bffd-6254fb646cd8/mzaf_18000452079161537619.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/e4/b8/81/e4b881a7-1eec-2de5-7135-044b45a7a0fb/cover.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/e4/b8/81/e4b881a7-1eec-2de5-7135-044b45a7a0fb/cover.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/e4/b8/81/e4b881a7-1eec-2de5-7135-044b45a7a0fb/cover.jpg/100x100bb.jpg	1.29	1.29	2019-08-14T12:00:00Z	explicit	explicit	1	1	1	1	159086	USA	USD	Hip-Hop/Rap	True	Explicit	
track	song	1476459230	1476847194	1476847360	HOFMANNITA	ДА Я ХОФМАННИТА - Single	ДА Я ХОФМАННИТА	ДА Я ХОФМАННИТА - Single	ДА Я ХОФМАННИТА	https://music.apple.com/us/artist/hofmannita/1476459230?uo=4	https://music.apple.com/us/album/%D0%B4%D0%B0-%D1%8F-%D1%85%D0%BE%D1%84%D0%BC%D0%B0%D0%BD%D0%BD%D0%B8%D1%82%D0%B0/1476847194?i=1476847360&uo=4	https://music.apple.com/us/album/%D0%B4%D0%B0-%D1%8F-%D1%85%D0%BE%D1%84%D0%BC%D0%B0%D0%BD%D0%BD%D0%B8%D1%82%D0%B0/1476847194?i=1476847360&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/d0/7b/49/d07b491a-7d3a-9c3b-17e5-035f1ead5d93/mzaf_8263510200597222219.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/78/3d/c7/783dc7fc-0b0c-45ee-0137-bfc39da07a63/cover.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/78/3d/c7/783dc7fc-0b0c-45ee-0137-bfc39da07a63/cover.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/78/3d/c7/783dc7fc-0b0c-45ee-0137-bfc39da07a63/cover.jpg/100x100bb.jpg	1.29	1.29	2019-07-12T12:00:00Z	explicit	explicit	1	1	1	1	130116	USA	USD	Hip-Hop/Rap	True	Explicit	
track	song	1476459230	1498069192	1498069548	HOFMANNITA & KOUT	Проблема - Single	Проблема	Проблема - Single	Проблема	https://music.apple.com/us/artist/hofmannita/1476459230?uo=4	https://music.apple.com/us/album/%D0%BF%D1%80%D0%BE%D0%B1%D0%BB%D0%B5%D0%BC%D0%B0/1498069192?i=1498069548&uo=4	https://music.apple.com/us/album/%D0%BF%D1%80%D0%BE%D0%B1%D0%BB%D0%B5%D0%BC%D0%B0/1498069192?i=1498069548&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/c5/50/ff/c550ffa2-41dc-3fee-6006-fb687aa416ab/mzaf_8867020044224286962.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/a7/08/19/a70819ee-4347-cfc7-3771-9a3524b5a79b/cover.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/a7/08/19/a70819ee-4347-cfc7-3771-9a3524b5a79b/cover.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/a7/08/19/a70819ee-4347-cfc7-3771-9a3524b5a79b/cover.jpg/100x100bb.jpg	1.29	1.29	2020-02-13T12:00:00Z	explicit	explicit	1	1	1	1	146208	USA	USD	Alternative Rap	True	Explicit	
track	song	1358254938	1700935651	1700935690	Катя Адушкина & HOFMANNITA	Целуй - Single	Целуй	Целуй - Single	Целуй	https://music.apple.com/us/artist/%D0%BA%D0%B0%D1%82%D1%8F-%D0%B0%D0%B4%D1%83%D1%88%D0%BA%D0%B8%D0%BD%D0%B0/1358254938?uo=4	https://music.apple.com/us/album/%D1%86%D0%B5%D0%BB%D1%83%D0%B9/1700935651?i=1700935690&uo=4	https://music.apple.com/us/album/%D1%86%D0%B5%D0%BB%D1%83%D0%B9/1700935651?i=1700935690&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/89/65/a7/8965a7e9-fbdf-3a8e-1d8b-5481489bd3ea/mzaf_12515593022862543940.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/4c/5a/2b/4c5a2b7e-19c5-8945-ffb9-034cf2ebdbb7/cover.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/4c/5a/2b/4c5a2b7e-19c5-8945-ffb9-034cf2ebdbb7/cover.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/4c/5a/2b/4c5a2b7e-19c5-8945-ffb9-034cf2ebdbb7/cover.jpg/100x100bb.jpg	0.99	0.99	2023-08-18T12:00:00Z	notExplicit	notExplicit	1	1	1	1	119850	USA	USD	Pop	True		
track	song	1358254938	1703258791	1703258804	Катя Адушкина & HOFMANNITA	Целуй (Speed up) - Single	Целуй	Целуй (Speed up) - Single	Целуй	https://music.apple.com/us/artist/%D0%BA%D0%B0%D1%82%D1%8F-%D0%B0%D0%B4%D1%83%D1%88%D0%BA%D0%B8%D0%BD%D0%B0/1358254938?uo=4	https://music.apple.com/us/album/%D1%86%D0%B5%D0%BB%D1%83%D0%B9/1703258791?i=1703258804&uo=4	https://music.apple.com/us/album/%D1%86%D0%B5%D0%BB%D1%83%D0%B9/1703258791?i=1703258804&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/cb/51/bb/cb51bb5c-e538-39e3-102b-15a96a872778/mzaf_9979334187698008567.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/ed/d8/a5/edd8a5e0-d1a0-6f8d-d910-e383d091caf8/cover.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/ed/d8/a5/edd8a5e0-d1a0-6f8d-d910-e383d091caf8/cover.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/ed/d8/a5/edd8a5e0-d1a0-6f8d-d910-e383d091caf8/cover.jpg/100x100bb.jpg	1.98	0.99	2023-08-18T12:00:00Z	notExplicit	notExplicit	1	1	2	2	119850	USA	USD	Pop	True		
track	song	1476459230	1607536902	1607536912	HOFMANNITA & ТРАВМА	В президенты - EP	Арлекино	В президенты - EP	Арлекино	https://music.apple.com/us/artist/hofmannita/1476459230?uo=4	https://music.apple.com/us/album/%D0%B0%D1%80%D0%BB%D0%B5%D0%BA%D0%B8%D0%BD%D0%BE/1607536902?i=1607536912&uo=4	https://music.apple.com/us/album/%D0%B0%D1%80%D0%BB%D0%B5%D0%BA%D0%B8%D0%BD%D0%BE/1607536902?i=1607536912&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/3e/54/37/3e543779-38c6-8fbc-8e81-a8ba31c1be3f/mzaf_15345857912468965121.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/87/f9/91/87f991a2-ca95-1068-67a3-38ae0d7ac04a/cover.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/87/f9/91/87f991a2-ca95-1068-67a3-38ae0d7ac04a/cover.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/87/f9/91/87f991a2-ca95-1068-67a3-38ae0d7ac04a/cover.jpg/100x100bb.jpg	4.99	1.29	2020-05-29T12:00:00Z	explicit	explicit	1	1	4	3	120000	USA	USD	Hip-Hop/Rap	True	Explicit	
track	song	1476459230	1476459138	1476459143	HOFMANNITA	По кайфу - Single	По кайфу	По кайфу - Single	По кайфу	https://music.apple.com/us/artist/hofmannita/1476459230?uo=4	https://music.apple.com/us/album/%D0%BF%D0%BE-%D0%BA%D0%B0%D0%B9%D1%84%D1%83/1476459138?i=1476459143&uo=4	https://music.apple.com/us/album/%D0%BF%D0%BE-%D0%BA%D0%B0%D0%B9%D1%84%D1%83/1476459138?i=1476459143&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/fe/0b/a5/fe0ba507-72dc-da1c-5359-8888f25dfa3b/mzaf_7192848991936476035.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/7a/4f/86/7a4f86ef-fba4-2985-1aa0-0a8e74b69aa6/cover.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/7a/4f/86/7a4f86ef-fba4-2985-1aa0-0a8e74b69aa6/cover.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/7a/4f/86/7a4f86ef-fba4-2985-1aa0-0a8e74b69aa6/cover.jpg/100x100bb.jpg	1.29	1.29	2019-06-28T12:00:00Z	explicit	explicit	1	1	1	1	147749	USA	USD	Hip-Hop/Rap	True	Explicit	
track	song	1476459230	1476459476	1476459479	HOFMANNITA	Missing - EP	Я хотела лишь сосать	Missing - EP	Я хотела лишь сосать	https://music.apple.com/us/artist/hofmannita/1476459230?uo=4	https://music.apple.com/us/album/%D1%8F-%D1%85%D0%BE%D1%82%D0%B5%D0%BB%D0%B0-%D0%BB%D0%B8%D1%88%D1%8C-%D1%81%D0%BE%D1%81%D0%B0%D1%82%D1%8C/1476459476?i=1476459479&uo=4	https://music.apple.com/us/album/%D1%8F-%D1%85%D0%BE%D1%82%D0%B5%D0%BB%D0%B0-%D0%BB%D0%B8%D1%88%D1%8C-%D1%81%D0%BE%D1%81%D0%B0%D1%82%D1%8C/1476459476?i=1476459479&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/9a/b0/59/9ab0590d-9802-2de5-a0ce-995deb791eb2/mzaf_320414638952301631.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/0d/f3/e0/0df3e0ec-16df-bdcd-95e6-5303c7af47a4/cover.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/0d/f3/e0/0df3e0ec-16df-bdcd-95e6-5303c7af47a4/cover.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/0d/f3/e0/0df3e0ec-16df-bdcd-95e6-5303c7af47a4/cover.jpg/100x100bb.jpg	3.99	1.29	2019-08-14T12:00:00Z	explicit	explicit	1	1	4	1	174133	USA	USD	Hip-Hop/Rap	True	Explicit	
track	song	1682033160	1720204614	1720204633	BAPEZAYKA & HOFMANNITA	НЕ ЛЮБЛЮ - Single	НЕ ЛЮБЛЮ	НЕ ЛЮБЛЮ - Single	НЕ ЛЮБЛЮ	https://music.apple.com/us/artist/bapezayka/1682033160?uo=4	https://music.apple.com/us/album/%D0%BD%D0%B5-%D0%BB%D1%8E%D0%B1%D0%BB%D1%8E/1720204614?i=1720204633&uo=4	https://music.apple.com/us/album/%D0%BD%D0%B5-%D0%BB%D1%8E%D0%B1%D0%BB%D1%8E/1720204614?i=1720204633&uo=4	https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/8d/a1/7d/8da17dcf-86ea-6133-b019-a0079b496ec9/mzaf_18425653778364861493.plus.aac.p.m4a	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/9e/fd/bf/9efdbfdb-f219-4e3e-97c6-eef335f0ab00/cover.jpg/30x30bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/9e/fd/bf/9efdbfdb-f219-4e3e-97c6-eef335f0ab00/cover.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/9e/fd/bf/9efdbfdb-f219-4e3e-97c6-eef335f0ab00/cover.jpg/100x100bb.jpg	1.29	1.29	2023-12-22T12:00:00Z	notExplicit	notExplicit	1	1	1	1	144361	USA	USD	Hip-Hop/Rap	True		
